MI0000092	hsa-mir-91 	hsa-mir-91-13 	MI0000071 	miR-91 is expressed from the 5' arm of the mir-17 precursor hairpin. 
MI0012638	peu-MIR2914 		MI0012638 	The mature sequence annotated as miR2914 is a fragment of SSU rRNA. 
MI0013057	bta-mir-2884 		MI0013057 	The mature sequence annotated as miR-2884 is a fragment of SSU rRNA. 
MI0012633	peu-MIR2910 		MI0012633 	The mature sequence annotated as miR2910 is a fragment of LSU rRNA. 
MI0008194	hsa-mir-1826 		MI0008194 	The annotated mature sequence is a fragment of 5.8S rRNA. 
MI0005527	hsa-mir-886 		MI0005527 	The annotated mature sequence is a fragment of Vault RNA (Stadler et al. PMID:19491402). 
MI0007920	mml-mir-886 		MI0007920 	The annotated mature sequence is a fragment of Vault RNA (Stadler et al. PMID:19491402). 
MI0008868	ptr-mir-886 		MI0008868 	The annotated mature sequence is a fragment of Vault RNA (Stadler et al. PMID:19491402). 
MI0015156	ppy-mir-886 		MI0015156 	The annotated mature sequence is a fragment of Vault RNA (Stadler et al. PMID:19491402). 
MI0009985	hsa-mir-1975 		MI0009985 	The annotated mature sequence is a fragment of Y RNA (Meiri et  al, PMID:20483914). 
MI0006333	hsa-mir-1201 		MI0006333 	The miRNA overlaps an annotated snoRNA (SNORD126, Rfam 10.0, Infernal 1.0). The patterns of sequence conservation support the snoRNA annotation, so this sequence is likely not a miRNA. 
MI0008423	ptr-mir-1201 		MI0008423 	The miRNA overlaps an annotated snoRNA (SNORD126, Rfam 10.0, Infernal 1.0). The patterns of sequence conservation support the snoRNA annotation, so this sequence is likely not a miRNA. 
MI0015187	ppy-mir-1201 		MI0015187 	The miRNA overlaps an annotated snoRNA (SNORD126, Rfam 10.0, Infernal 1.0). The patterns of sequence conservation support the snoRNA annotation, so this sequence is likely not a miRNA. 
MI0006393	hsa-mir-1259 		MI0006393 	The miRNA overlaps an annotated snoRNA (SNORD12, Rfam 10.0, Infernal 1.0). The patterns of sequence conservation support the snoRNA annotation, so this sequence is likely not a miRNA. 
MI0008463	ptr-mir-1259 		MI0008463 	The miRNA overlaps an annotated snoRNA (SNORD12, Rfam 10.0, Infernal 1.0). The patterns of sequence conservation support the snoRNA annotation, so this sequence is likely not a miRNA. 
MI0014203	hsa-mir-3172 		MI0014203 	The mature miR-3172 is a fragment of a predicted tRNA (Rfam 10.0, Infernal 1.0). 
MI0009989	hsa-mir-1979 		MI0009989 	The mature miR-1979 is a fragment of a Y RNA (Meiri et al, PMID:20483914). 
MI0010737	mmu-mir-2132 		MI0010737 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010740	mmu-mir-2134-1 		MI0010740 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010741	mmu-mir-2134-2 		MI0010741 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010742	mmu-mir-2134-3 		MI0010742 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010743	mmu-mir-2134-4 		MI0010743 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010744	mmu-mir-2135-1 		MI0010744 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010745	mmu-mir-2135-4 		MI0010745 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010746	mmu-mir-2135-5 		MI0010746 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010747	mmu-mir-2135-2 		MI0010747 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010748	mmu-mir-2135-3 		MI0010748 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010751	mmu-mir-2138 		MI0010751 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0013182	mmu-mir-2134-5 		MI0013182 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0013183	mmu-mir-2134-6 		MI0013183 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010753	mmu-mir-2140 		MI0010753 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010754	mmu-mir-2141 		MI0010754 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0010762	mmu-mir-2146 		MI0010762 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0004654	mmu-mir-689-1 		MI0004654 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0004655	mmu-mir-689-2 		MI0004655 	The annotated miRNA sequence is a fragment of rRNA (Chiang et al, PMID:20413612). 
MI0015998	hsa-mir-3608 		MI0015998 	This sequence overlaps Vault RNA (Rfam 10.0, Infernal 1.0), therefore is likely not a miRNA. 
MI0005680	ppt-MIR896 		MI0005680 	The annotated mature miR896 sequence is a fragment of a tRNA (Rfam 10.0, Infernal 1.0, tRNAscan-SE). 
MI0015716	cin-mir-4161 		MI0015713 	cin-mir-4158 and cin-mir-4161 are alternative hairpins for the same mature miRNA. The latter is removed. 
MI0012586	rno-mir-513 		MI0015460 	mir-3585 is a duplicate of mir-513. The entries are merged. 
MI0014709	aae-mir-9c 		MI0013436 	aae-mir-9 and aae-mir-9c are duplicate entries, so are merged. 
MI0002404	mmu-mir-469 		MI0002404 	The pattern of deep sequencing reads from this putative mir-469 locus is not consistent with miRNA processing -- many reads overlap the loop region, and are tiled across the whole hairpin (Chiang et al. Genes Dev. 2010). 
MI0002399	mmu-mir-464 		MI0002399 	The pattern of deep sequencing reads from the putative mir-464 locus is not consistent with miRNA processing -- many reads overlap the loop region, and are tiled across the whole hairpin (Chiang et al. Genes Dev. 2010). 
MI0009933	mmu-mir-1944 		MI0009933 	The pattern of deep sequencing reads from the putative mir-1944 locus is not consistent with miRNA processing -- many reads overlap the loop region, and are tiled across the whole hairpin (Chiang et al. Genes Dev. 2010). 
MI0010760	mmu-mir-2145-1 		MI0010760 	The sequence annotated as mature miR-2145 is a fragment of 5S rRNA (Chiang et al. Genes Dev. 2010), so is removed from the database. 
MI0010761	mmu-mir-2145-2 		MI0010761 	The sequence annotated as mature miR-2145 is a fragment of 5S rRNA (Chiang et al. Genes Dev. 2010), so is removed from the database. 
MI0009928	mmu-mir-1939 		MI0009928 	The sequence annotated as mature miR-1939 is a fragment of mouse Gly-tRNA, and is therefore not a likely to be a bona fide miRNA. 
MI0009956	mmu-mir-1959 		MI0009956 	The sequence annotated as mature miR-1959 is a fragment of tRNA, and is therefore not a likely to be a bona fide miRNA (Peterson K, pers. comm.). 
MI0009926	mmu-mir-1937a 		MI0009926 	The sequence annotated as mature miR-1937 is a fragment of tRNA, and is therefore not a likely to be a bona fide miRNA (Peterson K, pers. comm.). 
MI0009938	mmu-mir-1937b-1 		MI0009938 	The sequence annotated as mature miR-1937 is a fragment of tRNA, and is therefore not a likely to be a bona fide miRNA (Peterson K, pers. comm.). 
MI0009953	mmu-mir-1937c 		MI0009953 	The sequence annotated as mature miR-1937 is a fragment of tRNA, and is therefore not a likely to be a bona fide miRNA (Peterson K, pers. comm.). 
MI0014698	mmu-mir-1937b-2 		MI0014698 	The sequence annotated as mature miR-1937 is a fragment of tRNA, and is therefore not a likely to be a bona fide miRNA (Peterson K, pers. comm.). 
MI0014700	mmu-mir-1937b-3 		MI0014700 	The sequence annotated as mature miR-1937 is a fragment of tRNA, and is therefore not a likely to be a bona fide miRNA (Peterson K, pers. comm.). 
MI0014702	mmu-mir-1937b-4 		MI0014702 	The sequence annotated as mature miR-1937 is a fragment of tRNA, and is therefore not a likely to be a bona fide miRNA (Peterson K, pers. comm.). 
MI0014703	mmu-mir-1937b-5 		MI0014703 	The sequence annotated as mature miR-1937 is a fragment of tRNA, and is therefore not a likely to be a bona fide miRNA (Peterson K, pers. comm.). 
MI0004700	mmu-mir-715 		MI0004700 	The pattern of deep sequencing reads from the putative mir-715 locus is not consistent with miRNA processing -- many reads overlap the loop region, and are tiled across the whole hairpin (Chiang et al. Genes Dev. 2010). Calabrese et al. (2007) also challenge this annotation, suggesting that it derives from the pre-rRNA transcript. 
MI0006410	hsa-mir-1274a 		MI0006410 	The putative mature miR-1274 sequence is a fragment of a Lys tRNA (Schopman et al. 2010, PMID:20818168). 
MI0006427	hsa-mir-1274b 		MI0006427 	The putative mature miR-1274 sequence is a fragment of a Lys tRNA (Schopman et al. 2010, PMID:20818168). 
MI0008475	ptr-mir-1274b 		MI0008475 	The putative mature miR-1274 sequence is a fragment of a Lys tRNA (Schopman et al. 2010, PMID:20818168). 
MI0009969	mmu-mir-1274a 		MI0009969 	The putative mature miR-1274 sequence is a fragment of a Lys tRNA (Schopman et al. 2010, PMID:20818168). 
MI0015231	ppy-mir-1274a 		MI0015231 	The putative mature miR-1274 sequence is a fragment of a Lys tRNA (Schopman et al. 2010, PMID:20818168). 
MI0015232	ppy-mir-1274b 		MI0015232 	The putative mature miR-1274 sequence is a fragment of a Lys tRNA (Schopman et al. 2010, PMID:20818168). 
MI0011563	bdi-MIR160 		MI0011563 	MIR160 does not map to the JGI 1.0 genome, so is removed. 
MI0011569	bdi-MIR171d 		MI0011569 	MIR171d does not map to the JGI 1.0 genome, so is removed. 
MI0011560	bdi-MIR408 		MI0011560 	MIR408 does not map to the JGI 1.0 genome, so is removed. 
MI0011564	bdi-MIR169a 		MI0011564 	MIR169a does not map to the JGI 1.0 genome, so is removed. 
MI0013365	ath-MIR2935 		MI0013365 	The pattern of reads from deep sequencing experiments does not support a miRNA annotation (Kozomara and Griffiths-Jones, NAR 2011 39:D152-D157) 
MI0018198	ame-mir-375b 		MI0016245 	mir-750 and mir-375b identified by Chen et al. map to the same locus. The entries are therefore merged. 
MI0004423	mmu-mir-P1130 		MI0019189 	Superceded by entry mmu-mir-5621 
MI0012527	mdo-mir-739 		MI0012527 	mir-739 appears to be a fragment of rRNA, and so is removed from the database 
MI0015970	dre-let-7e-2 		MI0001871 	Two annotated let-7e loci collapse to a single locus in the Zv9 assembly. 
MI0001985	dre-mir-130a-2 		MI0001984 	Two annotated mir-130a loci collapse to a single locus in the Zv9 assembly. 
MI0001998	dre-mir-135c-3 		MI0001997 	Three annotated mir-135c loci collapse to two loci in the Zv9 assembly. 
MI0002014	dre-mir-146b-2 		MI0002013 	Two annotated mir-146b loci collapse to a single locus in the  Zv9 assembly. 
MI0002031	dre-mir-193a-3 		MI0002030 	Three annotated mir-193a loci collapse to two in the Zv9 assembly. 
MI0002047	dre-mir-216a-2 		MI0001382 	Two annotated mir-216a loci collapse to a single locus in the Zv9 assembly. 
MI0002049	dre-mir-216b-2 		MI0002048 	Two annotated mir-216b loci collapse to a single locus in the Zv9 assembly. 
MI0002050	dre-mir-217-2 		MI0001383 	Two annotated mir-217 loci collapse to a single locus in the Zv9 assembly. 
MI0002066	dre-mir-338-4 		MI0002064 	Four annotated mir-338 loci collapse to two in the Zv9 assembly. 
MI0002065	dre-mir-338-3 		MI0002063 	Four annotated mir-338 loci collapse to two in the Zv9 assembly. 
MI0002071	dre-mir-365-4 		MI0002070 	Four annotated mir-365 loci collapse to three in the Zv9 assembly. 
MI0002060	dre-mir-301a-2 		MI0002059 	Two annotated mir-301a loci collapse to one in the Zv9 assembly. 
MI0003394	dre-mir-29a-2 		MI0001938 	Two annotated mir-29a loci collapse to one in the Zv9 assembly. 
MI0001936	dre-mir-29b-3 		MI0001934 	Three annotated mir-29b loci collapse to two in the Zv9 assembly. 
MI0002175	dre-mir-430j 		MI0002175 	mir-430j is absent from the Zv9 assembly 
MI0002101	dre-mir-430c-21 		MI0001529 	A number of mir-430c loci are merged in the Zv9 assembly 
MI0002100	dre-mir-430c-20 		MI0001529 	A number of mir-430c loci are merged in the Zv9 assembly 
MI0002099	dre-mir-430c-19 		MI0001529 	A number of mir-430c loci are merged in the Zv9 assembly 
MI0002172	dre-mir-430b-21 		MI0002149 	Some mir-430 entries collapse in the Zv9 genome assembly, so are merged. 
MI0002173	dre-mir-430b-22 		MI0002158 	Some mir-430 entries collapse in the Zv9 genome assembly, so are merged. 
MI0002174	dre-mir-430b-23 		MI0002170 	Some mir-430 entries collapse in the Zv9 genome assembly, so are merged. 
MI0002138	dre-mir-430a-23 		MI0002131 	Some mir-430 entries collapse in the Zv9 genome assembly, so are merged. 
MI0002135	dre-mir-430a-22 		MI0002120 	Some mir-430 entries collapse in the Zv9 genome assembly, so are merged. 
MI0002134	dre-mir-430a-21 		MI0002111 	Some mir-430 entries collapse in the Zv9 genome assembly, so are merged. 
MI0002133	dre-mir-430a-20 		MI0002111 	Some mir-430 entries collapse in the Zv9 genome assembly, so are merged. 
MI0002132	dre-mir-430a-19 		MI0002126 	Some mir-430 entries collapse in the Zv9 genome assembly, so are merged. 
MI0013245	osa-MIR2906a 		MI0013245 	The sequence annotated as miR2906 is a fragment of SRP RNA, so is removed. 
MI0013246	osa-MIR2906b 		MI0013246 	The sequence annotated as miR2906 is a fragment of SRP RNA, so is removed. 
MI0016047	hsa-mir-3647 		MI0016047 	mir-3647 is a fragment of a snoRNA (SNORD111B -- Langenberger et al, DOI:10.1007/978-3-642-22825-4_1), so is removed. 
MI0017669	bfl-mir-4896 		MI0017669 	mir-4896 is a fragment of U2 RNA. 
MI0016446	smr-mir-3931 		MI0018489 	mir-3931 is a chelicerate-specific miRNA that was not cloned frm Strigamia in Rota-Stabelli et al. (Peterson K, pers. comm.). 
MI0005490	mmu-mir-297a-5 		MI0000397 	miR-297a maps many times to the mouse genome. Sequences without support for mature miRNAs from both arms by deep sequencing are deleted. 
MI0005491	mmu-mir-297a-6 		MI0000397 	miR-297a maps many times to the mouse genome. Sequences without support for mature miRNAs from both arms by deep sequencing are deleted. 
MI0011685	dps-mir-2517a-4 		MI0011725 	Merge duplicate loci. 
MI0001707	osa-MIR442 		MI0001707 	The pattern of reads that map to the MIR442 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001704	osa-MIR441a 		MI0001704 	The pattern of reads that map to the MIR441 loci from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001705	osa-MIR441b 		MI0001705 	The pattern of reads that map to the MIR441 loci from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001706	osa-MIR441c 		MI0001706 	The pattern of reads that map to the MIR441 loci from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001718	osa-MIR446 		MI0001718 	The pattern of reads that map to the MIR446 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010723	osa-MIR2125 		MI0010723 	The pattern of reads that map to the MIR2125 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0004678	mmu-mir-720 		MI0004678 	Schopman et al. show that the sequence annotated as miR-720 is likely to be a fragment of a tRNA, and so is removed from the database (RNA Biol. 2010 7:573-576). 
MI0006654	hsa-mir-720 		MI0006654 	Schopman et al. show that the sequence annotated as miR-720 is likely to be a fragment of a tRNA, and so is removed from the database (RNA Biol. 2010 7:573-576). 
MI0008855	ptr-mir-720 		MI0008855 	Schopman et al. show that the sequence annotated as miR-720 is likely to be a fragment of a tRNA, and so is removed from the database (RNA Biol. 2010 7:573-576). 
MI0015141	ppy-mir-720 		MI0015141 	Schopman et al. show that the sequence annotated as miR-720 is likely to be a fragment of a tRNA, and so is removed from the database (RNA Biol. 2010 7:573-576). 
MI0020554	cgr-mir-720 		MI0020554 	Schopman et al. show that the sequence annotated as miR-720 is likely to be a fragment of a tRNA, and so is removed from the database (RNA Biol. 2010 7:573-576). 
MI0021124	bta-mir-720 		MI0021124 	Schopman et al. show that the sequence annotated as miR-720 is likely to be a fragment of a tRNA, and so is removed from the database (RNA Biol. 2010 7:573-576). 
MI0006437	hsa-mir-1280 		MI0006437 	Schopman et al. show that the sequence annotated as miR-1280 is likely to be a fragment of a tRNA, and so is removed from the database (RNA Biol. 2010 7:573-576). 
MI0008479	ptr-mir-1280 		MI0008479 	Schopman et al. show that the sequence annotated as miR-1280 is likely to be a fragment of a tRNA, and so is removed from the database (RNA Biol. 2010 7:573-576). 
MI0015235	ppy-mir-1280 		MI0015235 	Schopman et al. show that the sequence annotated as miR-1280 is likely to be a fragment of a tRNA, and so is removed from the database (RNA Biol. 2010 7:573-576). 
MI0001440	osa-MIR420 		MI0001440 	The pattern of reads that map to the MIR420 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005238	osa-MIR813 		MI0005238 	The pattern of reads that map to the MIR813 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010724	osa-MIR2124h 		MI0010724 	The pattern of reads that map to the MIR2124 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010722	osa-MIR2124i 		MI0010722 	The pattern of reads that map to the MIR2124 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010721	osa-MIR2124g 		MI0010721 	The pattern of reads that map to the MIR2124 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010720	osa-MIR2124f 		MI0010720 	The pattern of reads that map to the MIR2124 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010719	osa-MIR2124e 		MI0010719 	The pattern of reads that map to the MIR2124 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010718	osa-MIR2124d 		MI0010718 	The pattern of reads that map to the MIR2124 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010717	osa-MIR2124c 		MI0010717 	The pattern of reads that map to the MIR2124 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010716	osa-MIR2124b 		MI0010716 	The pattern of reads that map to the MIR2124 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010715	osa-MIR2124a 		MI0010715 	The pattern of reads that map to the MIR2124 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001709	osa-MIR445a 		MI0001709 	The pattern of reads that map to the MIR445 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001710	osa-MIR445b 		MI0001710 	The pattern of reads that map to the MIR445 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001711	osa-MIR445c 		MI0001711 	The pattern of reads that map to the MIR445 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001712	osa-MIR445d 		MI0001712 	The pattern of reads that map to the MIR445 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001713	osa-MIR445e 		MI0001713 	The pattern of reads that map to the MIR445 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001714	osa-MIR445f 		MI0001714 	The pattern of reads that map to the MIR445 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001715	osa-MIR445g 		MI0001715 	The pattern of reads that map to the MIR445 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001716	osa-MIR445h 		MI0001716 	The pattern of reads that map to the MIR445 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0001717	osa-MIR445i 		MI0001717 	The pattern of reads that map to the MIR445 locus from deep sequencing experiments is not consistent with miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005210	osa-MIR806a 		MI0005210 	The pattern of reads that map to the MIR806 locus from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005211	osa-MIR806b 		MI0005211 	The pattern of reads that map to the MIR806 locus from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005212	osa-MIR806c 		MI0005212 	The pattern of reads that map to the MIR806 locus from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005213	osa-MIR806d 		MI0005213 	The pattern of reads that map to the MIR806 locus from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005214	osa-MIR806e 		MI0005214 	The pattern of reads that map to the MIR806 locus from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005215	osa-MIR806f 		MI0005215 	The pattern of reads that map to the MIR806 locus from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005216	osa-MIR806g 		MI0005216 	The pattern of reads that map to the MIR806 locus from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005217	osa-MIR806h 		MI0005217 	The pattern of reads that map to the MIR806 locus from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010712	osa-MIR2123a 		MI0010712 	The pattern of reads that map to the MIR806/MIR2123 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010713	osa-MIR2123b 		MI0010713 	The pattern of reads that map to the MIR806/MIR2123 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0010714	osa-MIR2123c 		MI0010714 	The pattern of reads that map to the MIR806/MIR2123 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0008246	osa-MIR1884a 		MI0008246 	The pattern of reads that map to the MIR806/MIR1884 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0008281	osa-MIR1884b 		MI0008281 	The pattern of reads that map to the MIR806/MIR1884 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005209	osa-MIR807a 		MI0005209 	The pattern of reads that map to the MIR807 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005218	osa-MIR807b 		MI0005218 	The pattern of reads that map to the MIR807 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005219	osa-MIR807c 		MI0005219 	The pattern of reads that map to the MIR807 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005220	osa-MIR808 		MI0005220 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005221	osa-MIR809a 		MI0005221 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005222	osa-MIR809b 		MI0005222 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005223	osa-MIR809c 		MI0005223 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005224	osa-MIR809d 		MI0005224 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005225	osa-MIR809e 		MI0005225 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005226	osa-MIR809f 		MI0005226 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005227	osa-MIR809g 		MI0005227 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005228	osa-MIR809h 		MI0005228 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005252	osa-MIR819a 		MI0005252 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005253	osa-MIR819b 		MI0005253 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005254	osa-MIR819c 		MI0005254 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
